,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature,Track_Popularity,Artist_Popularity,Hot
4196,2002,Nelly,Hot in Herre,0.965,0.736,9,-5.005,0,0.144,0.218,0.0,0.0595,0.921,107.07,228227,4,71,77,1
4198,2002,The Calling,Wherever You Will Go,0.558,0.719,2,-5.113,1,0.0267,0.0367,0.0,0.115,0.371,112.027,208600,4,72,65,1
4199,2002,Vanessa Carlton,A Thousand Miles,0.56,0.825,11,-3.862,1,0.0379,0.323,0.0,0.161,0.268,94.931,237493,4,77,68,1
4200,2002,Linkin Park,In the End,0.542,0.853,3,-6.407,0,0.0498,0.0103,0.0,0.108,0.37,105.256,216933,4,83,86,1
4202,2002,Usher,U Got It Bad,0.816,0.5,1,-4.551,1,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,247840,4,70,82,1
4203,2002,Puddle of Mudd,Blurry,0.431,0.94,3,-4.462,0,0.0563,0.00916,0.0,0.142,0.484,157.477,304000,4,66,65,1
4204,2002,Avril Lavigne,Complicated,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507,4,75,80,1
4207,2002,Jimmy Eat World,The Middle,0.629,0.897,2,-3.401,1,0.0483,0.0424,0.0,0.263,0.93,161.944,168253,4,76,68,1
4209,2002,Usher,U Dont Have to Call,0.793,0.568,1,-4.958,1,0.0459,0.0478,3.57e-05,0.0304,0.806,100.005,269400,4,57,82,1
4213,2002,Creed,My Sacrifice,0.32,0.88,2,-6.035,1,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,294600,4,69,78,1
4214,2002,Eminem,Without Me,0.929,0.65,7,-2.882,1,0.0858,0.00348,0.0,0.308,0.655,112.249,290227,4,80,96,1
4216,2002,Michelle Branch,All You Wanted,0.499,0.72,8,-9.101,1,0.0286,0.00466,0.00303,0.122,0.652,96.103,217680,4,59,61,1
4219,2002,Default,Wasting My Time,0.449,0.776,2,-5.594,1,0.0322,0.00171,0.0,0.0698,0.198,148.11,269307,4,64,57,1
4220,2002,Creed,One Last Breath,0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,238240,4,68,78,1
4221,2002,Shakira,"Whenever, Wherever",0.793,0.832,1,-4.862,0,0.0406,0.236,1.12e-05,0.202,0.872,107.661,196160,4,73,86,1
4227,2002,Mario,Just a Friend 2002,0.538,0.677,0,-6.099,1,0.187,0.00541,0.0,0.236,0.913,132.346,214200,5,61,72,1
4228,2002,Sheryl Crow,Soak Up the Sun,0.715,0.75,4,-4.898,1,0.0448,0.0418,0.0,0.139,0.71,119.992,292307,4,53,66,1
4230,2002,N.O.R.E.,Nothin,0.781,0.869,6,-6.078,1,0.181,0.377,1.2e-06,0.301,0.702,97.025,264653,4,48,60,1
4232,2002,Kelly Clarkson,A Moment Like This,0.414,0.572,8,-3.918,1,0.0311,0.163,0.0,0.115,0.16,145.184,228280,4,52,79,1
4234,2002,Ashanti,Happy,0.717,0.508,7,-6.392,0,0.029,0.263,3.76e-06,0.062,0.681,89.473,262560,4,58,73,1
4235,2002,John Mayer,No Such Thing,0.668,0.739,4,-4.919,1,0.0308,0.0383,0.0,0.13,0.571,131.918,231467,4,62,84,1
4238,2002,Kylie Minogue,Cant Get You Out of My Head,0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,230640,4,55,71,1
4239,2002,Five for Fighting,Superman (Its Not Easy),0.382,0.416,0,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,102.089,221693,4,66,61,1
4240,2002,Eminem,Cleanin Out My Closet,0.911,0.743,9,-5.005,0,0.219,0.0835,0.0,0.106,0.878,148.012,297933,4,70,96,1
4241,2002,Musiq Soulchild,Halfcrazy,0.488,0.779,11,-6.49,0,0.162,0.428,0.0,0.0511,0.499,67.884,254493,4,51,62,1
4242,2002,Mr. Cheeks,"Lights, Camera, Action!",0.801,0.931,1,-6.602,1,0.0727,0.128,0.0,0.145,0.808,105.526,261027,4,38,39,1
4243,2002,Big Tymers,Still Fly,0.674,0.61,11,-3.546,1,0.227,0.0349,1.12e-05,0.343,0.548,177.943,335613,4,59,53,1
4244,2002,Alicia Keys,A Womans Worth,0.667,0.41,4,-8.323,0,0.138,0.331,0.0,0.064,0.493,75.069,303333,4,54,79,1
4245,2002,Craig David,7 Days,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.013,235133,4,71,73,1
4247,2002,Missy Elliott,Work It,0.884,0.677,1,-5.603,1,0.283,0.0778,0.0,0.0732,0.584,101.868,263227,4,69,76,1
